basin,local_nse,local_kge,ft_nse,ft_kge,group,seed,delta_nse_ft_minus_local,delta_kge_ft_minus_local
01414500,0.4039838910102844,0.4093586585877543,0.558160662651062,0.7059491875971559,2,1001,0.1541767716407776,0.2965905290094016
01415000,0.4814218282699585,0.5228555199330098,0.6209641695022583,0.7454399603352166,2,1001,0.1395423412322998,0.2225844404022068
01423000,0.5095062255859375,0.5163366099815186,0.7029415369033813,0.781120815275711,2,1001,0.1934353113174438,0.2647842052941923
01434025,0.3258296251296997,0.3109084907461951,0.5342224836349487,0.6407671877978102,2,1001,0.208392858505249,0.3298586970516151
01435000,0.3412463665008545,0.2944949483653545,0.6001625061035156,0.6191836650421043,2,1001,0.2589161396026611,0.3246887166767498
01439500,0.6128212213516235,0.5472581773503242,0.7152266502380371,0.7056976281809293,2,1001,0.1024054288864135,0.158439450830605
01440000,0.6219433546066284,0.5559425304356838,0.7494127750396729,0.6741337523434043,2,1001,0.1274694204330444,0.1181912219077205
01440400,0.5459965467453003,0.4666805743500962,0.70130854845047,0.6365061530892421,2,1001,0.1553120017051696,0.1698255787391459
01451800,0.4967934489250183,0.3786841495728198,0.6395094394683838,0.5334632353269515,2,1001,0.1427159905433654,0.1547790857541316
01466500,0.4448249340057373,0.7202918140239962,0.4557479619979858,0.6446672217553534,2,1001,0.0109230279922484,-0.0756245922686428
01484100,0.5657640099525452,0.4965599501500927,0.5725193023681641,0.5974254714472051,2,1001,0.0067552924156188,0.1008655212971124
01487000,0.6602010726928711,0.6632029308053304,0.7490494251251221,0.7847248766748287,2,1001,0.0888483524322509,0.1215219458694982
01491000,0.4719740152359009,0.3965231157904104,0.6234558820724487,0.5400338142840219,2,1001,0.1514818668365478,0.1435106984936114
01510000,0.4620096087455749,0.4626589078489181,0.6674138307571411,0.7206968294866538,2,1001,0.2054042220115662,0.2580379216377357
01516500,0.2641642093658447,0.245310148001914,0.4052483439445495,0.400248069189078,2,1001,0.1410841345787047,0.154937921187164
01518862,0.3956294655799866,0.3818386373232337,0.5397160053253174,0.5174284483789294,2,1001,0.1440865397453308,0.1355898110556957
01532000,0.273328423500061,0.2392255718907638,0.3769744038581848,0.3483312295539518,2,1001,0.1036459803581238,0.109105657663188
01539000,0.5360757112503052,0.4747032618121569,0.7161164283752441,0.6555864279898578,2,1001,0.1800407171249389,0.1808831661777009
01542810,0.3913251757621765,0.3832806539912913,0.6165066957473755,0.5608306614277256,2,1001,0.2251815199851989,0.1775500074364343
01543000,0.4699851870536804,0.4607054339163619,0.6731575131416321,0.6246051085969591,2,1001,0.2031723260879516,0.1638996746805971
01543500,0.5217263698577881,0.5140645030268404,0.6938080787658691,0.6856764355413059,2,1001,0.172081708908081,0.1716119325144655
01544500,0.472034215927124,0.4424862665319827,0.6625440120697021,0.6138649731681691,2,1001,0.1905097961425781,0.1713787066361864
01545600,0.5036059617996216,0.4927671366052155,0.6898802518844604,0.6708633939570539,2,1001,0.1862742900848388,0.1780962573518383
01547700,0.4799196720123291,0.4533074274521952,0.5888992547988892,0.5871392541470765,2,1001,0.10897958278656,0.1338318266948812
01548500,0.5328943729400635,0.5275881114240665,0.6589876413345337,0.6786459666725901,2,1001,0.1260932683944702,0.1510578552485236
01549500,0.3865034580230713,0.3363687007884707,0.5418374538421631,0.4547872465140596,2,1001,0.1553339958190918,0.1184185457255889
01550000,0.3916391730308532,0.3410671215811025,0.5416048765182495,0.4816499815853192,2,1001,0.1499657034873963,0.1405828600042167
01552000,0.4756940603256225,0.435282099433302,0.6504490375518799,0.610244765612288,2,1001,0.1747549772262573,0.174962666178986
